1000	0	0.4299	0.4277	0.2797	0.6835	0.1980	1.0741
1000	100	0.4817	0.4785	0.3129	0.7646	0.2215	1.2124
1000	150	0.5341	0.5293	0.3447	0.8542	0.2429	1.3558
1000	200	0.5070	0.5020	0.3269	0.8101	0.2304	1.2969
1000	250	0.5426	0.5410	0.3524	0.8731	0.2483	1.3858
1000	300	0.5073	0.5059	0.3282	0.8164	0.2302	1.2957
1000	350	0.5621	0.5605	0.3611	0.9136	0.2529	1.4635
1000	400	0.5486	0.5449	0.3508	0.8881	0.2437	1.4227
1000	450	0.5701	0.5664	0.3632	0.9322	0.2511	1.4939
1000	50	0.4596	0.4551	0.3006	0.7272	0.2124	1.1530
1000	500	0.6166	0.6152	0.3856	1.0223	0.2632	1.6653
1000	550	0.6179	0.6152	0.3765	1.0419	0.2535	1.7219
1000	600	0.7164	0.7129	0.4316	1.2301	0.2868	2.0726
1000	625	0.7011	0.6973	0.4195	1.2253	0.2765	2.0713
1000	650	0.8415	0.8359	0.5029	1.4557	0.3314	2.4826
1000	675	1.1677	1.1602	0.7241	1.9278	0.4917	3.1404
1000	700	1.3462	1.3320	0.8670	2.1019	0.6062	3.2437
1000	725	1.5725	1.5430	1.0345	2.3733	0.7444	3.5779
1000	750	1.7328	1.6953	1.1476	2.5941	0.8245	3.8646
1000	775	1.5548	1.5195	1.0207	2.3130	0.7360	3.4218
1025	600	0.8056	0.8008	0.4947	1.3689	0.3316	2.2601
1025	625	0.8245	0.8242	0.4980	1.4222	0.3300	2.4132
1025	650	0.9670	0.9648	0.5879	1.6494	0.3939	2.7232
1025	675	0.9238	0.9180	0.5499	1.6132	0.3604	2.7638
1025	700	1.3245	1.3164	0.8408	2.1455	0.5785	3.4370
1025	725	1.5833	1.5703	1.0247	2.4779	0.7238	3.8239
1025	750	1.7409	1.7109	1.1506	2.6589	0.8254	3.9904
1025	775	1.9976	1.9609	1.3284	2.9849	0.9613	4.4390
1025	800	2.1542	2.1016	1.4330	3.1571	1.0385	4.6096
1050	0	0.6551	0.6504	0.4252	1.0393	0.3011	1.6478
1050	100	0.6818	0.6777	0.4431	1.0830	0.3137	1.7171
1100	0	0.9326	0.9258	0.6076	1.4682	0.4322	2.3206
1100	100	0.8730	0.8711	0.5717	1.3919	0.4066	2.1873
1100	150	0.8861	0.8789	0.5769	1.4184	0.4103	2.2513
1100	200	0.8925	0.8867	0.5820	1.4169	0.4139	2.2266
1100	250	0.8842	0.8789	0.5746	1.4044	0.4068	2.2268
1100	300	0.9142	0.9102	0.5939	1.4689	0.4195	2.3313
1100	350	0.9510	0.9492	0.6182	1.5168	0.4357	2.4263
1100	400	1.0018	0.9961	0.6462	1.6234	0.4533	2.5788
1100	450	1.0110	1.0039	0.6488	1.6362	0.4529	2.6211
1100	50	0.9327	0.9258	0.6076	1.4793	0.4322	2.3455
1100	500	1.0533	1.0430	0.6714	1.6998	0.4665	2.7461
1100	550	1.1727	1.1680	0.7464	1.9035	0.5178	3.0495
1100	600	1.2430	1.2383	0.7823	2.0379	0.5393	3.3200
1100	650	1.2431	1.2383	0.7634	2.0971	0.5103	3.4657
1100	700	1.4025	1.3945	0.8461	2.4062	0.5638	4.0543
1100	725	1.4415	1.4336	0.8661	2.4736	0.5740	4.1678
1100	750	1.5771	1.5703	0.9487	2.7345	0.6287	4.6316
1100	775	2.0547	2.0391	1.2623	3.4208	0.8483	5.6141
1100	800	2.6249	2.6016	1.7086	4.1259	1.1992	6.3437
1100	825	3.0269	2.9922	2.0061	4.6023	1.4435	6.9384
1100	850	3.1781	3.1172	2.0977	4.7449	1.5160	7.0564
1100	875	3.1450	3.0703	2.0799	4.6491	1.5052	6.8646
1125	700	1.5343	1.5273	0.9533	2.5623	0.6473	4.2052
1125	725	1.6189	1.6172	0.9854	2.7646	0.6601	4.6317
1125	750	1.6888	1.6797	1.0148	2.8982	0.6725	4.9178
1125	775	2.0688	2.0547	1.2467	3.5453	0.8307	5.9313
1125	800	2.4729	2.4609	1.5360	4.0893	1.0430	6.6614
1125	825	2.9633	2.9297	1.8860	4.6814	1.3103	7.3565
1125	850	3.2855	3.2344	2.1524	5.0006	1.5351	7.5501
1125	875	3.6752	3.6094	2.4522	5.4941	1.7694	8.1706
1125	900	4.3861	4.2656	2.8981	6.4760	2.0912	9.5460
1150	0	1.2076	1.1992	0.7871	1.9162	0.5598	3.0383
1150	100	1.2660	1.2539	0.8230	2.0036	0.5853	3.2051
1150	150	1.2042	1.1992	0.7871	1.9162	0.5598	3.0383
1150	200	1.3105	1.3008	0.8521	2.0785	0.6047	3.2956
1150	250	1.2491	1.2383	0.8127	1.9787	0.5780	3.1373
1150	300	1.2278	1.2188	0.7999	1.9474	0.5689	3.0878
1150	350	1.3728	1.3633	0.8948	2.1784	0.6364	3.4540
1150	400	1.3284	1.3203	0.8599	2.1308	0.6060	3.4114
1150	450	1.3792	1.3711	0.8930	2.2127	0.6293	3.5426
1150	50	1.1605	1.1523	0.7563	1.8413	0.5379	2.8936
1150	500	1.4570	1.4492	0.9366	2.3619	0.6538	3.7838
1150	550	1.4825	1.4766	0.9487	2.4065	0.6575	3.8877
1150	600	1.6316	1.6172	1.0329	2.6615	0.7107	4.3360
1150	650	1.6716	1.6641	1.0344	2.7917	0.6988	4.5817
1150	700	1.8375	1.8203	1.1408	3.0538	0.7786	4.9731
1150	750	1.8406	1.8359	1.1092	3.1678	0.7351	5.3375
1150	775	2.1876	2.1797	1.3281	3.7262	0.8898	6.2427
1150	800	2.2186	2.2109	1.3301	3.8854	0.8766	6.6123
1150	825	2.5639	2.5547	1.5632	4.3265	1.0528	7.0962
1150	850	3.2385	3.2031	2.0620	5.1183	1.4326	8.0431
1150	875	4.0481	3.9844	2.6515	6.1920	1.8910	9.3853
1150	900	4.7173	4.6250	3.1422	7.0032	2.2673	10.3957
1150	925	4.6550	4.5781	3.0922	6.9322	2.2444	10.2357
1175	750	2.1852	2.1797	1.3438	3.6915	0.8983	6.1463
1175	775	2.1404	2.1328	1.2990	3.6801	0.8623	6.1568
1175	800	2.6306	2.6172	1.6008	4.4741	1.0683	7.5502
1175	825	2.6493	2.6484	1.5864	4.6120	1.0397	7.8653
1175	850	3.1696	3.1406	1.9482	5.3189	1.3127	8.6576
1175	875	3.9174	3.8594	2.5299	6.1669	1.7714	9.6040
1175	900	4.3750	4.3281	2.8910	6.6572	2.0711	10.0362
1175	925	5.2560	5.1719	3.5011	7.8313	2.5152	11.6249
1175	950	5.7324	5.6094	3.8137	8.4490	2.7718	12.3833
1200	0	1.5433	1.5352	1.0076	2.4347	0.7166	3.8481
1200	100	1.6647	1.6484	1.0861	2.6340	0.7759	4.1764
1200	150	1.6901	1.6797	1.1024	2.6840	0.7841	4.2556
1200	200	1.6281	1.6172	1.0614	2.5841	0.7549	4.0608
1200	250	1.6872	1.6797	1.1024	2.6840	0.7841	4.2556
1200	300	1.6572	1.6484	1.0778	2.6340	0.7630	4.1764
